"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"IE","IRL","Ireland",2018,0.125,"1",100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,1,0.26,0,1,0,0.007,0.44,1.539297,1.47558009748607,8,0,0.33,0,0.51,23,92218.141398691,0.485177715722362,0.5,0.415208624259299,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,72,0,0
"IL","ISR","Israel",2018,0.23,"0",100,0.737888702767901,0.479318672008477,0.787075165170195,0.5,0,1,0,0,0,0,1.869,0.5,4.3262,1.7328340570961,0,0,0.28,1,0.33,17,26132.3890060412,0.633764928529151,0.5,1.2026892297197,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,54,0.25,0
"IS","ISL","Iceland",2018,0.2,"0",10,0.86,0.602353618717047,0.812269350072009,0.5,0,0,0.24,0,1,0,3.09,0.4624,1.229826,1.29300825960882,0,6.758,0.22,0,0.22,24,14202.1555989162,0.531563327669859,0,0.896893804947586,0,1,0,1,0,0,1,1,0,0.2,0.12,0.2,44,0.5,1
"IT","ITA","Italy",2018,0.278064,"0",80,0.869865253929667,0.576669379707147,0.965116279069767,1,1,1,0.09,0,NA,0,3.982,0.52765573,2.712898,1.2122797460602,0,0,0.26,0,0.26,22,90380.9627102053,0.374172482511305,0,0.560236467798025,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,100,0.5,1
"JP","JPN","Japan",2018,0.2974,"0.5",5,0.859028659709284,0.278958448750364,0.787075165170195,0.5,0,0,0.0875,0,1,0,0.222,0.53977165,8.595115,1.13671311343403,2.1,0,0.204,0,0.2032,8,100407.568377102,0.716041150147995,0.5,0.802300721688643,0,1,1,1,1,0,0.95,0,0,0.2,0.2,0.2,66,0.25,0.5
"KR","KOR","Korea",2018,0.275,"0.5",7,0.921720532319392,0.547953910556565,0.737888702767901,1,0,1,0.13,0,3,0,0,0.45309835,12.88879,1.20316645292446,0,0,0,1,0.4028,10,27364.3889891267,0.661216372976855,0,0.331765291574061,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,93,0.375,0.5
"LT","LTU","Lithuania",2018,0.15,"0",70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,0,2,0,0,0.24,0.364149,1.10269046418304,0,0,0.15,NA,0.15,21,97563.0907987165,0.5128446132896,0.5,0.215870196049933,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,53,0.25,0.5
"LU","LUX","Luxembourg",2018,0.2601,"0",17,0.873417350634541,0.479318672008477,0.869865253929667,1,0,1,-0.01,0,1,7,0.17,0.4018,3.679296,1.37949787547995,7,0,0,1,0.21,17,33690.3764562665,0.7577606452656,0.5,0.0473912346038307,0,1,1,1,0,0,1,1,0,0.15,0,0,80,0,0.5
"LV","LVA","Latvia",2018,0.2,"100",100,0.905263157894737,0.614285714285714,0.869865253929667,1,1,0,0.28,0,0,0,0,0.23,0.140346,1.05267459480051,0,0,0.2,0,0,21,79773.9207087115,0.541029972027309,0.5,0.449163017563437,0,0,1,0,0,0,1,1,1,0,0,0,61,0,1
"MX","MEX","Mexico",2018,0.3,"0",10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,0,0.0575,0,0,0,1.328,0.35,25.660191,1.21165988967721,0,13.011,0.1,1,0.17142857,16,0,0.333996867940045,0.5,0.0904683169932924,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,58,0.5,0.5
"NL","NLD","Netherlands",2018,0.25,"1",9,0.813463195231154,0.338474732816403,0.869865253929667,1,0,1,0.225,0,1,NA,0,0.52197272,1.38825,1.34521730949451,0,0,0.3,1,0.25,21,1650.19336094698,0.514299988155268,0.5,0.487261305310382,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0
"NO","NOR","Norway",2018,0.23,"0",100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,0,0.2225,0,0,0,0,0.4672,1.632658,1.25189207839517,0,0,0.3059,0,0.3059,25,4916.69351181324,0.567706046121266,0.5,0.180349897587768,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.375,1
"NZ","NZL","New Zealand",2018,0.28,"0",100,0.731914893617021,0.307142857142857,0.547953910556565,0.5,0,0,-0.02,0,0,0,3.239,0.33,1.172496,1.46420422519286,0,0,0,1,0.06944444,15,40813.1614282974,0.953878232629375,1,1.22177910582921,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,40,0.25,0.5
"PL","POL","Poland",2018,0.19,"0",2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,0,0,0.095,0,1,0,0,0.39908085,1.994591,1.03646479796681,0,0,0.19,0,0.19,23,111214.726164321,0.453185319883233,0.5,0.864227054878312,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,84,0.375,1
"PT","PRT","Portugal",2018,0.315,"0",3.5,0.888411247396436,0.547953910556565,0.737888702767901,0.5,1,1,0.35,0,3,9,0.622,0.585269,15.622325,1.25811700205368,2.5,0,0.28,1,0.28,23,16886.4437318365,0.492983413095105,0.5,0.388171217373408,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,76,0.5,1
"SE","SWE","Sweden",2018,0.22,"0",100,0.86,0.479318672008477,0.86,0,0,0,0.05,0,0,0,0,0.6012,1.49517,1.24071206646735,0,-0.049,0.3,0,0.3,25,3296.89096588135,0.58223504469913,0.5,0.370414634551008,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.5,0.5
"SI","SVN","Slovenia",2018,0.19,"0",50,0.869865253929667,0.391406012913837,0.737888702767901,0.5,0,0,0.19,0,1,0,0.018,0.6105,5.056709,1.15625021888685,0,0,0,1,0.25,22,83256.737135169,0.575531867127735,0,0.242324406425567,0,1,1,1,0,0,0.95,0.475,1,0.15,0.15,0.15,58,0,0.5
"SK","SVK","Slovak Republic",2018,0.21,"0",4,0.873879108036537,0.547953910556565,0.869865253929667,0.5,0,1,0.09,0,0,0,0.667,0.3505,3.443444,1.10769645713471,0,0,0,0,0.07,20,100763.364958068,0.497047726582767,0.5,0.225667717299815,0,0,0,1,0,0,1,1,1,0.35,0.19,0.19,69,0,1
"TR","TUR","Turkey",2018,0.22,"0",5,0.864149148541634,0.431068736527055,0.69441435606903,0.5,1,1,0.055,0,0,0,0,0.44741,3.125218,1.19476027024526,0.759,0,0,1,0.175,18,0,0.400094350083281,0.5,0.117035995381575,0,1,1,0,1,1,1,1,0,0.15,0.1,0.2,83,0.5,0.5
"US","USA","United States",2018,0.2583858,"5",100,0.93846273303009,0.34958311169213,0.632751338890881,1,0,1,0.0575,0,2,0,0,0.486,7.93496,1.24916870455424,0,0,0.2888,0,0.28881436,7.4,0,0.352030311997459,0.5,1.59130359323186,0,1,1,1,0,0,1,0,0,0.3,0.3,0.3,66,0.5,1
