"ISO_3","country","year","property_tax_collections"
"LUX","Luxembourg","2012",0.0646287749560816
"LUX","Luxembourg","2013",0.0609617172618982
"LUX","Luxembourg","2014",0.0628964597066956
"LUX","Luxembourg","2015",0.0624951353014849
"LUX","Luxembourg","2016",0.0612218913495868
"LUX","Luxembourg","2017",0.0610186443638217
"LVA","Latvia","2012",0.479130091449744
"LVA","Latvia","2013",0.478944919192034
"LVA","Latvia","2014",0.518218730612681
"LVA","Latvia","2015",0.519241268918956
"LVA","Latvia","2016",0.564850131173265
"LVA","Latvia","2017",0.58474524753345
"MEX","Mexico","2012",0.141252599772672
"MEX","Mexico","2013",0.136394450083222
"MEX","Mexico","2014",0.154674766413326
"MEX","Mexico","2015",0.150324363331223
"MEX","Mexico","2016",0.152369476096824
"MEX","Mexico","2017",0.159585761395219
"MEX","Mexico","2017",0.144143439913011
"NLD","Netherlands","2012",0.451933442023359
"NLD","Netherlands","2013",0.526439475595381
"NLD","Netherlands","2014",0.665984974653641
"NLD","Netherlands","2015",0.647182877292794
"NLD","Netherlands","2016",0.659241796797767
"NLD","Netherlands","2017",0.672081574838878
"NOR","Norway","2012",0.225556134273043
"NOR","Norway","2013",0.234176677223057
"NOR","Norway","2014",0.236457831118424
"NOR","Norway","2015",0.258610639938548
"NOR","Norway","2016",0.268708471740455
"NOR","Norway","2017",0.276897823100467
"NZL","New Zealand","2012",1.59649859187374
"NZL","New Zealand","2013",1.63763222318299
"NZL","New Zealand","2014",1.65271786143908
"NZL","New Zealand","2015",1.63360428840474
"NZL","New Zealand","2016",1.59273202232593
"NZL","New Zealand","2017",1.56450512096099
"POL","Poland","2012",1.12706774914229
"POL","Poland","2013",1.19061601417592
"POL","Poland","2014",1.21259987956723
"POL","Poland","2015",1.17202013935306
"POL","Poland","2016",1.11800663185739
"POL","Poland","2017",1.11639410649323
"PRT","Portugal","2012",0.375936966712126
"PRT","Portugal","2013",0.459072528964531
"PRT","Portugal","2014",0.514920785409815
"PRT","Portugal","2015",0.556028091898628
"PRT","Portugal","2016",0.553145275481374
"PRT","Portugal","2017",0.590304892649925
"SVK","Slovak Republic","2012",0.257488885020631
"SVK","Slovak Republic","2013",0.265703587350967
"SVK","Slovak Republic","2014",0.270502227677042
"SVK","Slovak Republic","2015",0.270296931809834
"SVK","Slovak Republic","2016",0.27071314524178
"SVK","Slovak Republic","2017",0.27547019811219
"SVN","Slovenia","2012",0.278850287556273
"SVN","Slovenia","2013",0.301727693752964
"SVN","Slovenia","2014",0.29866241588149
"SVN","Slovenia","2015",0.307901940701031
"SVN","Slovenia","2016",0.324739912213234
"SVN","Slovenia","2017",0.344102633301383
"SWE","Sweden","2012",0.489111023657769
"SWE","Sweden","2013",0.53197829574473
"SWE","Sweden","2014",0.526298725060529
"SWE","Sweden","2015",0.516072849865961
"SWE","Sweden","2016",0.51102930979261
"SWE","Sweden","2017",0.480810317322947
"TUR","Turkey","2012",0.204151075534575
"TUR","Turkey","2013",0.202044112942365
"TUR","Turkey","2014",0.222781694330123
"TUR","Turkey","2015",0.229869211511665
"TUR","Turkey","2016",0.228842126830443
"TUR","Turkey","2017",0.203411292297348
"USA","United States","2012",2.02305117178822
"USA","United States","2013",2.04057848781232
"USA","United States","2014",2.0604252273387
"USA","United States","2015",2.03790258568017
"USA","United States","2016",2.04429013848296
"USA","United States","2017",2.06501764481898
